local_date,home_team,away_team,venue,city,temp_c,feels_like_c,precip_mm,humidity_pct,wind_kmh,weather_desc,first_half_mult,second_half_mult,weather_label
2026-06-24,South Africa,South Korea,"Estadio BBVA , Guadalupe",Monterrey,31.9,31.9,0.0,37.0,24.7,Hot,1.0,0.93,hot 32C
2026-06-25,Curacao,Ivory Coast,"Lincoln Financial Field , Philadelphia",Philadelphia,28.6,28.6,0.0,34.0,15.5,Hot,1.0,0.93,hot 29C
2026-06-25,Ecuador,Germany,"MetLife Stadium , East Rutherford",New York,25.7,25.7,0.0,60.0,16.5,Clear,1.0,1.0,normal conditions
2026-06-25,Japan,Sweden,"AT&T Stadium , Arlington",Dallas,31.7,31.7,0.0,42.0,6.0,Hot,1.0,0.93,hot 32C
2026-06-25,Tunisia,Netherlands,"Arrowhead Stadium , Kansas City",Kansas City,24.6,24.6,0.0,63.0,4.5,Clear,1.0,1.0,normal conditions
2026-06-25,Turkiye,United States,"SoFi Stadium , Inglewood",Los Angeles,26.4,26.4,0.0,37.0,14.8,Clear,1.0,1.0,normal conditions
2026-06-25,Paraguay,Australia,"Levi's Stadium , Santa Clara",San Jose,30.6,30.6,0.0,24.0,10.7,Hot,1.0,0.93,hot 31C
2026-06-26,Norway,France,"Gillette Stadium , Foxborough",Boston,23.1,23.1,0.0,57.0,8.9,Clear,1.0,1.0,normal conditions
2026-06-26,Senegal,Iraq,"BMO Field , Toronto",Toronto,23.9,23.9,0.0,41.0,17.3,Clear,1.0,1.0,normal conditions
2026-06-26,Cape Verde,Saudi Arabia,"NRG Stadium , Houston",Houston,32.3,32.3,0.0,53.0,22.4,Extreme heat,1.0,0.88,extreme heat 32C
2026-06-26,Uruguay,Spain,"Estadio Akron , Zapopan",Guadalajara,22.2,22.2,0.4,73.0,5.4,Clear,1.0,1.0,normal conditions
2026-06-26,Egypt,Iran,"Lumen Field , Seattle",Seattle,17.3,17.3,0.0,52.0,10.1,Clear,1.0,1.0,normal conditions
2026-06-26,New Zealand,Belgium,"BC Place , Vancouver",Vancouver,16.4,16.4,0.0,56.0,9.2,Clear,1.0,1.0,normal conditions
2026-06-27,Panama,England,"MetLife Stadium , East Rutherford",New York,25.5,25.5,0.0,54.0,13.8,Clear,1.0,1.0,normal conditions
2026-06-27,Croatia,Ghana,"Lincoln Financial Field , Philadelphia",Philadelphia,28.9,28.9,0.0,39.0,13.5,Hot,1.0,0.93,hot 29C
2026-06-27,Colombia,Portugal,"Hard Rock Stadium , Miami Gardens",Miami,30.3,30.3,0.0,64.0,17.4,Hot,1.0,0.93,hot 30C
2026-06-27,DR Congo,Uzbekistan,"Mercedes-Benz Stadium , Atlanta",Atlanta,32.7,32.7,0.0,39.0,10.9,Extreme heat,1.0,0.88,extreme heat 33C
2026-06-27,Algeria,Austria,"Arrowhead Stadium , Kansas City",Kansas City,27.3,27.3,0.0,85.0,5.5,Clear,1.0,0.96,high humidity 85%
2026-06-27,Jordan,Argentina,"AT&T Stadium , Arlington",Dallas,32.8,32.8,0.0,45.0,25.0,"Extreme heat, Windy",0.97,0.8536,"extreme heat 33C, windy 25km/h"
